Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,ACHR,ACHR,ACHR,ACHR,ACHR,,,,,,,,
Date,,,,,,,,,,,,,
2022-07-18,3.259999990463257,3.4200000762939453,3.240000009536743,3.299999952316284,1557900,39.9999965320919,3444355.0,0.01874998183921006,-0.2453916922609185,-0.2501278060120356,4.622967974526584,2.259032018797696,0.14929132951822519
2022-07-19,3.4000000953674316,3.4100000858306885,3.2300000190734863,3.3499999046325684,1228500,52.32067896813197,2922235.0,0.04294481758089841,-0.21212289496524406,-0.24252682380267732,4.502172694209745,2.287827291485141,0.16319776671958064
2022-07-20,3.380000114440918,3.559999942779541,3.3499999046325684,3.390000104904175,1448800,61.38614504118624,2822440.0,-0.00588234716633218,-0.18523568308424965,-0.2310685956589918,4.28506360075705,2.38293640591867,0.17194587833840014
2022-07-21,3.4700000286102295,3.4700000286102295,3.2850000858306885,3.390000104904175,1266900,60.00000733595969,2748545.0,0.026627192639665953,-0.15487977540233722,-0.2158308316076609,4.089633832790451,2.48236619391243,0.19424126830006924
2022-07-22,3.1500000953674316,3.490000009536743,3.140000104904175,3.4700000286102295,1206500,56.250002149206765,2675185.0,-0.09221900017417606,-0.1548587053643402,-0.20363640635899677,3.8288348359182622,2.617165215580151,0.17900826593146352
2022-07-25,3.2100000381469727,3.2249999046325684,3.0899999141693115,3.1600000858306885,734900,52.356025713265,1785360.0,0.019047600305720724,-0.14829110570697956,-0.19256734622859334,3.636347041410404,2.723652996736569,0.1786349395503084
2022-07-26,3.2799999713897705,3.309999942779541,3.119999885559082,3.190000057220459,798300,60.45197709672361,1736550.0,0.021806832526770403,-0.13587158303062497,-0.18122819358899966,3.505413574748541,2.8015864662594545,0.16260923062543356
2022-07-27,3.640000104904175,3.75,3.390000104904175,3.490000009536743,3974900,61.95652540104215,1738910.0,0.109756139223949,-0.09587483429409094,-0.16415752173001794,3.581437548773044,2.760562506540066,0.19995056491920044
2022-07-28,3.9200000762939453,4.039999961853027,3.630000114440918,3.6500000953674316,3313700,64.82412614189334,1670760.0,0.0769230668462142,-0.041109579483160186,-0.1395479332806464,3.7336156426087674,2.7083844127043433,0.2709294396163135
2022-07-29,4.039999961853027,4.114999771118164,3.765000104904175,3.9100000858306885,2214300,78.77095336678386,1647205.0,0.0306122151080499,0.011838797116819233,-0.10927058720115329,3.893580732794586,2.644419326333222,0.32670516770901575
2022-08-01,4.170000076293945,4.179999828338623,3.8589999675750732,4.019999980926514,1411600,80.20833811929697,1623680.0,0.03217824645257927,0.06355803238996183,-0.07470486328293027,4.049603148931891,2.6163969073348934,0.37672096457756526
2022-08-02,4.269999980926514,4.320000171661377,4.050000190734863,4.139999866485596,1169200,82.0000030994419,1557480.0,0.023980792039083765,0.11133169307448076,-0.03749755201144807,4.212012757643728,2.5689873081598,0.4140738295341716
2022-08-03,4.400000095367432,4.46999979019165,4.21999979019165,4.300000190734863,1276200,83.88625919083894,1533945.0,0.030444991808339594,0.1578628415653367,0.0015745267039088823,4.369130924100503,2.5608691426566996,0.441887184466145
2022-08-04,4.550000190734863,4.590000152587891,4.360000133514404,4.429999828338623,1656200,83.25123551915411,1535815.0,0.03409093002642427,0.20448568241722365,0.042156757846571837,4.548039876297175,2.516960204765142,0.4863951437792983
2022-08-05,4.380000114440918,4.546000003814697,4.329999923706055,4.5,1120600,76.1682259129565,1501070.0,-0.03736265256430438,0.22512196836699383,0.07874979995065624,4.663097844535169,2.5069022556006346,0.4961655319905162
2022-08-08,4.389999866485596,4.579999923706055,4.340000152587891,4.400000095367432,959400,74.6268630160547,1496160.0,0.00228304835237525,0.23952220717032668,0.11090428139459033,4.753577016265147,2.5544230714728893,0.504590467543805
2022-08-09,4.369999885559082,4.380000114440918,4.150000095367432,4.349999904632568,1822000,74.6268630160547,1550575.0,-0.004555804449835832,0.2464794076725858,0.13801930665018944,4.8220976352840506,2.6219024419635693,0.4992257703780839
2022-08-10,4.230000019073486,4.658999919891357,4.190000057220459,4.610000133514404,3077300,68.44660435762097,1629905.0,-0.03203658355878525,0.23795324313080268,0.1580060939463121,4.849623638759762,2.718376439441532,0.48462514750111146
2022-08-11,4.78000020980835,4.980000019073486,4.380000114440918,4.75,9628500,85.58952274221767,2071210.0,0.1300236851666332,0.27243614090590995,0.18089210333823166,4.956359573713337,2.792640522607769,0.45987638113117235
2022-08-12,4.840000152587891,4.894999980926514,4.494999885559082,4.809999942779541,3442000,85.58952274221767,2165385.0,0.0125522887334657,0.30113429111205825,0.20494054089299701,5.071210810384622,2.841789296426901,0.4170856883316395
2022-08-15,4.610000133514404,4.849999904632568,4.554999828338623,4.829999923706055,1708200,77.14285992324868,2172900.0,-0.04752066359967122,0.3018392871467732,0.22432029014375227,5.124533934677892,2.923466186438747,0.32456313948240717
2022-08-16,4.650000095367432,4.769000053405762,4.489999771118164,4.650000095367432,1701700,73.70892134391524,2196560.0,0.00867678106172498,0.302142750659149,0.23988478224683163,5.179776683272645,2.9932234378439935,0.2670638611720623
2022-08-17,3.9700000286102295,4.369999885559082,3.9600000381469727,4.320000171661377,3785500,50.98814136129849,2313395.0,-0.14623657049698835,0.24469226517215592,0.24084627883189652,5.159726226654081,3.0722738858794876,0.260402329053207
2022-08-18,3.890000104904175,3.9800000190734863,3.759999990463257,3.950000047683716,1885900,46.987954691278105,2344345.0,-0.020151114138419857,0.19051092490611143,0.23077920804673951,5.142188751783651,3.131811368379312,0.2789383746874561
2022-08-19,3.6500000953674316,3.880000114440918,3.6500000953674316,3.8399999141693115,1137100,39.99999999999999,2340875.0,-0.06169665888547715,0.126744792314045,0.20997232490020062,5.0853715127863675,3.2386286073765964,0.339041990454506
2022-08-22,3.6600000858306885,3.680000066757202,3.5399999618530273,3.5899999141693115,936700,37.84860762124463,2350965.0,0.0027397233430073165,0.07613890656161448,0.1832056412324834,5.028736923551066,3.34026320138027,0.3867453898231622
2022-08-23,3.690000057220459,3.9000000953674316,3.549999952316284,3.6600000858306885,2159800,35.269707819496745,2419040.0,0.00819671330225158,0.03801590083725248,0.1541676931534372,4.973251705299645,3.4367484282147602,0.41950260720820987
